date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:58:59	117856/117856	---M--	200	added ('OK')	application/pdf	etag:%221cc60-49e04d821e380%22	https://courses.csail.mit.edu/6.006/spring11/exams/notes1-2.pdf	/home/dobrinskiy/Downloads/intro_to_algos_mit/intro-to-algos-mit/courses.csail.mit.edu/6.006/spring11/exams/notes1-2.pdf	(from https://courses.csail.mit.edu/6.006/spring11/quizzes.shtml)
15:58:59	188778/188778	---M--	200	added ('OK')	application/pdf	etag:%222e16a-49e0366e1b0c0%22	https://courses.csail.mit.edu/6.006/spring11/exams/notes1-1.pdf	/home/dobrinskiy/Downloads/intro_to_algos_mit/intro-to-algos-mit/courses.csail.mit.edu/6.006/spring11/exams/notes1-1.pdf	(from https://courses.csail.mit.edu/6.006/spring11/quizzes.shtml)
15:59:00	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2013%20Aug%202017%2012:59:00%20GMT	https://courses.csail.mit.edu/6.006/spring11/exams/quiz1.pdf	/home/dobrinskiy/Downloads/intro_to_algos_mit/intro-to-algos-mit/courses.csail.mit.edu/6.006/spring11/exams/quiz1.pdf	(from https://courses.csail.mit.edu/6.006/spring11/quizzes.shtml)
15:59:00	122195/122195	---M--	200	added ('OK')	application/pdf	etag:%221dd53-49e04d5b04740%22	https://courses.csail.mit.edu/6.006/spring11/exams/notes1-3.pdf	/home/dobrinskiy/Downloads/intro_to_algos_mit/intro-to-algos-mit/courses.csail.mit.edu/6.006/spring11/exams/notes1-3.pdf	(from https://courses.csail.mit.edu/6.006/spring11/quizzes.shtml)
15:59:02	245193/245193	---M--	200	added ('OK')	application/pdf	etag:%223bdc9-49e76c2f4df40%22	https://courses.csail.mit.edu/6.006/spring11/exams/quiz1-sol.pdf	/home/dobrinskiy/Downloads/intro_to_algos_mit/intro-to-algos-mit/courses.csail.mit.edu/6.006/spring11/exams/quiz1-sol.pdf	(from https://courses.csail.mit.edu/6.006/spring11/quizzes.shtml)
15:59:03	74384/74384	---M--	200	added ('OK')	application/pdf	etag:%2212290-4a0c3d5919f40%22	https://courses.csail.mit.edu/6.006/spring11/exams/notes2-1.pdf	/home/dobrinskiy/Downloads/intro_to_algos_mit/intro-to-algos-mit/courses.csail.mit.edu/6.006/spring11/exams/notes2-1.pdf	(from https://courses.csail.mit.edu/6.006/spring11/quizzes.shtml)
15:59:04	168772/168772	---M--	200	added ('OK')	application/pdf	etag:%2229344-4a0c3d6673ec0%22	https://courses.csail.mit.edu/6.006/spring11/exams/notes2-2.pdf	/home/dobrinskiy/Downloads/intro_to_algos_mit/intro-to-algos-mit/courses.csail.mit.edu/6.006/spring11/exams/notes2-2.pdf	(from https://courses.csail.mit.edu/6.006/spring11/quizzes.shtml)
15:59:05	128695/128695	---M--	200	added ('OK')	application/pdf	etag:%221f6b7-4a0c3d6d20e80%22	https://courses.csail.mit.edu/6.006/spring11/exams/notes2-3.pdf	/home/dobrinskiy/Downloads/intro_to_algos_mit/intro-to-algos-mit/courses.csail.mit.edu/6.006/spring11/exams/notes2-3.pdf	(from https://courses.csail.mit.edu/6.006/spring11/quizzes.shtml)
15:59:06	141163/141163	---M--	200	added ('OK')	application/pdf	etag:%222276b-4a15ba14b38c0%22	https://courses.csail.mit.edu/6.006/spring11/exams/quiz2.pdf	/home/dobrinskiy/Downloads/intro_to_algos_mit/intro-to-algos-mit/courses.csail.mit.edu/6.006/spring11/exams/quiz2.pdf	(from https://courses.csail.mit.edu/6.006/spring11/quizzes.shtml)
15:59:07	196170/196170	---M--	200	added ('OK')	application/pdf	etag:%222fe4a-4a15b9f25e7c0%22	https://courses.csail.mit.edu/6.006/spring11/exams/quiz2-sol.pdf	/home/dobrinskiy/Downloads/intro_to_algos_mit/intro-to-algos-mit/courses.csail.mit.edu/6.006/spring11/exams/quiz2-sol.pdf	(from https://courses.csail.mit.edu/6.006/spring11/quizzes.shtml)
15:59:07	69280849/69280849	---M--	200	added ('OK')	application/x-gzip	etag:%224212451-49c466d863b80%22	https://courses.csail.mit.edu/6.006/spring11/psets/ps2_dnaseqdata.tar.gz	/home/dobrinskiy/Downloads/intro_to_algos_mit/intro-to-algos-mit/courses.csail.mit.edu/6.006/spring11/psets/ps2_dnaseqdata.tar.gz	(from https://courses.csail.mit.edu/6.006/spring11/psets.shtml)
15:59:07	41476/41476	---M--	200	added ('OK')	application/pdf	etag:%22a204-4a37caf781f80;4a3b55cab9780%22	https://courses.csail.mit.edu/6.006/spring11/exams/notes3-dp	/home/dobrinskiy/Downloads/intro_to_algos_mit/intro-to-algos-mit/courses.csail.mit.edu/6.006/spring11/exams/notes3-dp.pdf	(from https://courses.csail.mit.edu/6.006/spring11/quizzes.shtml)
15:59:08	61587/61587	---M--	200	added ('OK')	application/pdf	etag:%22f093-4a359e6f3d940;4a3b55cab9780%22	https://courses.csail.mit.edu/6.006/spring11/exams/notes3-newton	/home/dobrinskiy/Downloads/intro_to_algos_mit/intro-to-algos-mit/courses.csail.mit.edu/6.006/spring11/exams/notes3-newton.pdf	(from https://courses.csail.mit.edu/6.006/spring11/quizzes.shtml)
15:59:09	50229/50229	---M--	200	added ('OK')	application/pdf	etag:%22c435-4a359e78c6fc0;4a3b55cab9780%22	https://courses.csail.mit.edu/6.006/spring11/exams/notes3-karatsuba	/home/dobrinskiy/Downloads/intro_to_algos_mit/intro-to-algos-mit/courses.csail.mit.edu/6.006/spring11/exams/notes3-karatsuba.pdf	(from https://courses.csail.mit.edu/6.006/spring11/quizzes.shtml)
15:59:11	196029/196029	---M--	200	added ('OK')	application/pdf	etag:%222fdbd-4a3b55cab9780%22	https://courses.csail.mit.edu/6.006/spring11/exams/quiz3.pdf	/home/dobrinskiy/Downloads/intro_to_algos_mit/intro-to-algos-mit/courses.csail.mit.edu/6.006/spring11/exams/quiz3.pdf	(from https://courses.csail.mit.edu/6.006/spring11/quizzes.shtml)
15:59:12	38588/38588	---M--	200	added ('OK')	application/pdf	etag:%2296bc-415bf48228000%22	https://courses.csail.mit.edu/6.006/spring11/rsrc/clrscode.pdf	/home/dobrinskiy/Downloads/intro_to_algos_mit/intro-to-algos-mit/courses.csail.mit.edu/6.006/spring11/rsrc/clrscode.pdf	(from https://courses.csail.mit.edu/6.006/spring11/resources.shtml)
15:59:12	223062/223062	---M--	200	added ('OK')	application/pdf	etag:%2236756-4a3b54fbc6f40%22	https://courses.csail.mit.edu/6.006/spring11/exams/quiz3-sol.pdf	/home/dobrinskiy/Downloads/intro_to_algos_mit/intro-to-algos-mit/courses.csail.mit.edu/6.006/spring11/exams/quiz3-sol.pdf	(from https://courses.csail.mit.edu/6.006/spring11/quizzes.shtml)
